date,open,high,low,close,per_change,volume,traded_amount,symbol
2025-04-13,310.0,322.5,310.0,317.82,0.68,64884.0,20550239.1,UNHPL
2025-04-15,316.0,333.0,315.0,327.72,3.11,87537.0,28634512.0,UNHPL
2025-04-16,334.2,338.6,325.0,335.11,2.25,83279.0,27696475.5,UNHPL
2025-04-17,337.6,344.8,334.1,335.67,0.17,99212.0,33722478.7,UNHPL
2025-04-20,341.0,341.0,323.9,328.77,-2.06,39886.0,13150387.2,UNHPL
2025-04-21,324.0,352.5,323.5,349.21,6.22,266702.0,92378664.1,UNHPL
2025-04-22,342.3,361.0,328.0,336.02,-3.78,115807.0,40006441.7,UNHPL
2025-04-23,336.2,336.5,324.0,324.74,-3.36,65326.0,21474871.8,UNHPL
2025-04-24,325.0,337.0,325.0,333.88,2.81,134786.0,45012383.0,UNHPL
2025-04-27,339.9,346.0,335.0,340.87,2.09,138232.0,47186943.2,UNHPL
2025-04-28,334.3,347.0,331.5,332.09,-2.58,56180.0,18992482.0,UNHPL
2025-04-29,335.0,335.9,325.5,326.6,-1.65,51207.0,16868843.2,UNHPL
2025-04-30,333.1,350.0,328.1,339.17,3.85,202930.0,69028198.9,UNHPL
2025-05-04,345.5,349.7,337.0,339.02,-0.04,151663.0,52147686.5,UNHPL
2025-05-05,345.8,352.7,329.3,332.12,-2.04,69013.0,22942152.1,UNHPL
2025-05-06,336.0,349.0,335.0,346.07,4.2,182682.0,62823445.5,UNHPL
2025-05-07,346.0,356.0,346.0,351.17,1.47,158872.0,55963762.2,UNHPL
2025-05-08,345.0,369.0,345.0,359.99,2.51,281434.0,101307875.1,UNHPL
2025-05-11,355.0,366.0,347.0,348.92,-3.08,151590.0,53890566.2,UNHPL
2025-05-13,353.5,353.5,340.0,340.52,-2.41,87587.0,30004732.8,UNHPL
2025-05-14,344.0,344.0,330.4,333.32,-2.11,108655.0,36447020.3,UNHPL
2025-05-15,327.0,339.5,327.0,328.88,-1.33,70355.0,23205278.7,UNHPL
2025-05-18,322.5,335.0,320.1,321.11,-2.36,70334.0,22889229.3,UNHPL
2025-05-19,315.1,328.9,315.1,321.33,0.07,73795.0,23771503.6,UNHPL
2025-05-20,315.0,338.0,315.0,334.63,4.14,69739.0,22818151.7,UNHPL
2025-05-21,341.3,355.0,324.0,326.99,-2.28,64469.0,21522743.2,UNHPL
2025-05-22,333.0,335.0,319.1,323.23,-1.15,69357.0,22523403.3,UNHPL
2025-05-25,325.0,328.0,319.0,320.57,-0.82,44887.0,14391569.2,UNHPL
2025-05-26,324.0,333.4,316.0,318.23,-0.73,57149.0,18370439.7,UNHPL
2025-05-27,321.9,326.0,319.0,321.64,1.07,54270.0,17455331.1,UNHPL
2025-05-28,315.3,329.0,315.3,325.94,1.34,61373.0,20032573.1,UNHPL
2025-06-02,332.4,334.0,325.0,326.17,0.07,53056.0,17520003.2,UNHPL
2025-06-03,323.0,327.9,321.0,321.4,-1.46,27255.0,8792315.0,UNHPL
2025-06-04,318.5,324.4,317.0,318.71,-0.84,33409.0,10679730.3,UNHPL
2025-06-05,315.0,324.0,315.0,320.78,0.65,44656.0,14293747.1,UNHPL
2025-06-08,314.4,346.0,314.4,338.8,5.62,149540.0,50236376.0,UNHPL
2025-06-09,340.0,343.0,334.1,338.6,-0.06,63026.0,21404535.3,UNHPL
2025-06-10,345.0,349.9,338.0,338.36,-0.07,92152.0,31542687.0,UNHPL
2025-06-11,345.1,354.9,333.5,352.18,4.08,190135.0,65706911.5,UNHPL
